Loan Term,Loan Amount,Loan Provider,Loan Product,Average APR,Source,Date Extracted
12, 21000, HALIFAX, Personal Loan, 3.5, Moneyfacts, 2020-07-02 22:43:31
12, 21000, SANTANDER, Existing Customer Personal Loan , 3.5, Moneyfacts, 2020-07-02 22:43:31
12, 21000, Bank Of Scotland, Existing Customer Personal Loan, 3.9, Moneyfacts, 2020-07-02 22:43:31
12, 21000, Lloyds Bank, Existing Customer Personal Loan, 3.9, Moneyfacts, 2020-07-02 22:43:31
12, 21000, TSB, Existing Current Account Customer Personal Loan, 3.9, Moneyfacts, 2020-07-02 22:43:31
12, 21000, TSB, Personal Loan, 3.9, Moneyfacts, 2020-07-02 22:43:31
12, 21000, Danske Bank, Existing Choice - Prestige or Freedom C/Acc Customers, 5.0, Moneyfacts, 2020-07-02 22:43:31
12, 21000, Danske Bank, Home Owners Personal Loan, 5.0, Moneyfacts, 2020-07-02 22:43:31
12, 21000, John Lewis Financial Services, Personal Loan, 5.0, Moneyfacts, 2020-07-02 22:43:31
12, 21000, Danske Bank, Personal Loan, 5.5, Moneyfacts, 2020-07-02 22:43:31
12, 21000, AIB, Personal Loan, 5.6, Moneyfacts, 2020-07-02 22:43:31
12, 21000, HSBC, Existing Customer Personal Loan, 6.7, Moneyfacts, 2020-07-02 22:43:31
12, 21000, HSBC, Personal Loan, 6.7, Moneyfacts, 2020-07-02 22:43:31
12, 21000, M\u0026s Bank, Existing Customer Personal Loan, 6.8, Moneyfacts, 2020-07-02 22:43:31
12, 21000, M\u0026s Bank, Personal Loan, 6.9, Moneyfacts, 2020-07-02 22:43:31
12, 21000, Metro Bank, Personal Loan, 7.9, Moneyfacts, 2020-07-02 22:43:31
12, 21000, ZOPA, Personal Loan, 8.7, Moneyfacts, 2020-07-02 22:43:31
12, 21000, RATESETTER, Personal Loan, 8.9, Moneyfacts, 2020-07-02 22:43:31
12, 21000, Lending Works, Personal Loan, 14.4, Moneyfacts, 2020-07-02 22:43:31
12, 21000, My Community Bank, Personal Loan, 25.9, Moneyfacts, 2020-07-02 22:43:31
12, 22000, AA, Member Loan, 3.0, Moneyfacts, 2020-07-02 22:43:33
12, 22000, AA, Non-Member Loan, 3.1, Moneyfacts, 2020-07-02 22:43:33
12, 22000, Tesco Bank, Online Personal Loan, 2.9, Moneyfacts, 2020-07-02 22:43:33
12, 22000, Tesco Bank, Telephone Personal Loan, 2.9, Moneyfacts, 2020-07-02 22:43:33
12, 22000, Mbna Limited, Personal Loan, 3.0, Moneyfacts, 2020-07-02 22:43:33
12, 22000, SANTANDER, 123 and Select Customers Personal Loan, 3.0, Moneyfacts, 2020-07-02 22:43:33
12, 22000, Post Office Money®, Personal Loan, 3.1, Moneyfacts, 2020-07-02 22:43:33
12, 22000, Clydesdale Bank, Personal Loan, 3.2, Moneyfacts, 2020-07-02 22:43:33
12, 22000, Yorkshire Bank, Personal Loan, 3.2, Moneyfacts, 2020-07-02 22:43:33
12, 22000, First Direct, Personal Loan, 3.3, Moneyfacts, 2020-07-02 22:43:33
12, 22000, HSBC, Premier Customer Personal Loan, 3.3, Moneyfacts, 2020-07-02 22:43:33
12, 22000, Bank Of Ireland Uk, Online Personal Loan, 3.5, Moneyfacts, 2020-07-02 22:43:33
12, 22000, HALIFAX, Existing Customer Personal Loan, 3.5, Moneyfacts, 2020-07-02 22:43:33
12, 22000, HALIFAX, Personal Loan, 3.5, Moneyfacts, 2020-07-02 22:43:33
12, 22000, SANTANDER, Existing Customer Personal Loan , 3.5, Moneyfacts, 2020-07-02 22:43:33
12, 22000, Bank Of Scotland, Existing Customer Personal Loan, 3.9, Moneyfacts, 2020-07-02 22:43:33
12, 22000, Lloyds Bank, Existing Customer Personal Loan, 3.9, Moneyfacts, 2020-07-02 22:43:33
12, 22000, TSB, Existing Current Account Customer Personal Loan, 3.9, Moneyfacts, 2020-07-02 22:43:33
12, 22000, TSB, Personal Loan, 3.9, Moneyfacts, 2020-07-02 22:43:33
12, 22000, Danske Bank, Existing Choice - Prestige or Freedom C/Acc Customers, 5.0, Moneyfacts, 2020-07-02 22:43:33
12, 22000, Danske Bank, Home Owners Personal Loan, 5.0, Moneyfacts, 2020-07-02 22:43:33
12, 22000, John Lewis Financial Services, Personal Loan, 5.0, Moneyfacts, 2020-07-02 22:43:33
12, 22000, Danske Bank, Personal Loan, 5.5, Moneyfacts, 2020-07-02 22:43:33
12, 22000, AIB, Personal Loan, 5.6, Moneyfacts, 2020-07-02 22:43:33
12, 22000, HSBC, Existing Customer Personal Loan, 6.7, Moneyfacts, 2020-07-02 22:43:33
12, 22000, HSBC, Personal Loan, 6.7, Moneyfacts, 2020-07-02 22:43:33
12, 22000, M\u0026s Bank, Existing Customer Personal Loan, 6.8, Moneyfacts, 2020-07-02 22:43:33
12, 22000, M\u0026s Bank, Personal Loan, 6.9, Moneyfacts, 2020-07-02 22:43:33
12, 22000, Metro Bank, Personal Loan, 7.9, Moneyfacts, 2020-07-02 22:43:33
12, 22000, ZOPA, Personal Loan, 8.7, Moneyfacts, 2020-07-02 22:43:33
12, 22000, RATESETTER, Personal Loan, 8.9, Moneyfacts, 2020-07-02 22:43:33
12, 22000, Lending Works, Personal Loan, 14.3, Moneyfacts, 2020-07-02 22:43:33
12, 22000, My Community Bank, Personal Loan, 25.9, Moneyfacts, 2020-07-02 22:43:33
12, 23000, AA, Member Loan, 3.0, Moneyfacts, 2020-07-02 22:43:35
12, 23000, AA, Non-Member Loan, 3.1, Moneyfacts, 2020-07-02 22:43:35
12, 23000, Tesco Bank, Online Personal Loan, 2.9, Moneyfacts, 2020-07-02 22:43:35
12, 23000, Tesco Bank, Telephone Personal Loan, 2.9, Moneyfacts, 2020-07-02 22:43:35
12, 23000, Mbna Limited, Personal Loan, 3.0, Moneyfacts, 2020-07-02 22:43:35
12, 23000, SANTANDER, 123 and Select Customers Personal Loan, 3.0, Moneyfacts, 2020-07-02 22:43:35
12, 23000, Post Office Money®, Personal Loan, 3.1, Moneyfacts, 2020-07-02 22:43:35
12, 23000, Clydesdale Bank, Personal Loan, 3.2, Moneyfacts, 2020-07-02 22:43:35
12, 23000, Yorkshire Bank, Personal Loan, 3.2, Moneyfacts, 2020-07-02 22:43:35
12, 23000, First Direct, Personal Loan, 3.3, Moneyfacts, 2020-07-02 22:43:35
12, 23000, HSBC, Premier Customer Personal Loan, 3.3, Moneyfacts, 2020-07-02 22:43:35
12, 23000, Bank Of Ireland Uk, Online Personal Loan, 3.5, Moneyfacts, 2020-07-02 22:43:35
12, 23000, HALIFAX, Existing Customer Personal Loan, 3.5, Moneyfacts, 2020-07-02 22:43:35
12, 23000, HALIFAX, Personal Loan, 3.5, Moneyfacts, 2020-07-02 22:43:35
12, 23000, SANTANDER, Existing Customer Personal Loan , 3.5, Moneyfacts, 2020-07-02 22:43:35
12, 23000, Bank Of Scotland, Existing Customer Personal Loan, 3.9, Moneyfacts, 2020-07-02 22:43:35
12, 23000, Lloyds Bank, Existing Customer Personal Loan, 3.9, Moneyfacts, 2020-07-02 22:43:35
12, 23000, TSB, Existing Current Account Customer Personal Loan, 3.9, Moneyfacts, 2020-07-02 22:43:35
12, 23000, TSB, Personal Loan, 3.9, Moneyfacts, 2020-07-02 22:43:35
12, 23000, Danske Bank, Existing Choice - Prestige or Freedom C/Acc Customers, 5.0, Moneyfacts, 2020-07-02 22:43:35
12, 23000, Danske Bank, Home Owners Personal Loan, 5.0, Moneyfacts, 2020-07-02 22:43:35
12, 23000, John Lewis Financial Services, Personal Loan, 5.0, Moneyfacts, 2020-07-02 22:43:35
12, 23000, Danske Bank, Personal Loan, 5.5, Moneyfacts, 2020-07-02 22:43:35
12, 23000, AIB, Personal Loan, 5.6, Moneyfacts, 2020-07-02 22:43:35
12, 23000, HSBC, Existing Customer Personal Loan, 6.7, Moneyfacts, 2020-07-02 22:43:35
12, 23000, HSBC, Personal Loan, 6.7, Moneyfacts, 2020-07-02 22:43:35
12, 23000, M\u0026s Bank, Existing Customer Personal Loan, 6.8, Moneyfacts, 2020-07-02 22:43:35
12, 23000, M\u0026s Bank, Personal Loan, 6.9, Moneyfacts, 2020-07-02 22:43:35
12, 23000, Metro Bank, Personal Loan, 7.9, Moneyfacts, 2020-07-02 22:43:35
12, 23000, ZOPA, Personal Loan, 8.7, Moneyfacts, 2020-07-02 22:43:35
12, 23000, RATESETTER, Personal Loan, 8.9, Moneyfacts, 2020-07-02 22:43:35
12, 23000, Lending Works, Personal Loan, 14.2, Moneyfacts, 2020-07-02 22:43:35
12, 23000, My Community Bank, Personal Loan, 25.9, Moneyfacts, 2020-07-02 22:43:35
12, 24000, AA, Member Loan, 3.0, Moneyfacts, 2020-07-02 22:43:37
12, 24000, AA, Non-Member Loan, 3.1, Moneyfacts, 2020-07-02 22:43:37
12, 24000, Tesco Bank, Online Personal Loan, 2.9, Moneyfacts, 2020-07-02 22:43:37
12, 24000, Tesco Bank, Telephone Personal Loan, 2.9, Moneyfacts, 2020-07-02 22:43:37
12, 24000, Mbna Limited, Personal Loan, 3.0, Moneyfacts, 2020-07-02 22:43:37
12, 24000, SANTANDER, 123 and Select Customers Personal Loan, 3.0, Moneyfacts, 2020-07-02 22:43:37
12, 24000, Post Office Money®, Personal Loan, 3.1, Moneyfacts, 2020-07-02 22:43:37
12, 24000, Clydesdale Bank, Personal Loan, 3.2, Moneyfacts, 2020-07-02 22:43:37
12, 24000, Yorkshire Bank, Personal Loan, 3.2, Moneyfacts, 2020-07-02 22:43:37
12, 24000, First Direct, Personal Loan, 3.3, Moneyfacts, 2020-07-02 22:43:37
12, 24000, HSBC, Premier Customer Personal Loan, 3.3, Moneyfacts, 2020-07-02 22:43:37
12, 24000, Bank Of Ireland Uk, Online Personal Loan, 3.5, Moneyfacts, 2020-07-02 22:43:37
12, 24000, HALIFAX, Existing Customer Personal Loan, 3.5, Moneyfacts, 2020-07-02 22:43:37
12, 24000, HALIFAX, Personal Loan, 3.5, Moneyfacts, 2020-07-02 22:43:37
12, 24000, SANTANDER, Existing Customer Personal Loan , 3.5, Moneyfacts, 2020-07-02 22:43:37
12, 24000, Bank Of Scotland, Existing Customer Personal Loan, 3.9, Moneyfacts, 2020-07-02 22:43:37
12, 24000, Lloyds Bank, Existing Customer Personal Loan, 3.9, Moneyfacts, 2020-07-02 22:43:37
12, 24000, TSB, Existing Current Account Customer Personal Loan, 3.9, Moneyfacts, 2020-07-02 22:43:37
12, 24000, TSB, Personal Loan, 3.9, Moneyfacts, 2020-07-02 22:43:37
12, 24000, Danske Bank, Existing Choice - Prestige or Freedom C/Acc Customers, 5.0, Moneyfacts, 2020-07-02 22:43:37
12, 24000, Danske Bank, Home Owners Personal Loan, 5.0, Moneyfacts, 2020-07-02 22:43:37
12, 24000, John Lewis Financial Services, Personal Loan, 5.0, Moneyfacts, 2020-07-02 22:43:37
12, 24000, Danske Bank, Personal Loan, 5.5, Moneyfacts, 2020-07-02 22:43:37
12, 24000, AIB, Personal Loan, 5.6, Moneyfacts, 2020-07-02 22:43:37
12, 24000, HSBC, Existing Customer Personal Loan, 6.7, Moneyfacts, 2020-07-02 22:43:38
12, 24000, HSBC, Personal Loan, 6.7, Moneyfacts, 2020-07-02 22:43:38
12, 24000, M\u0026s Bank, Existing Customer Personal Loan, 6.8, Moneyfacts, 2020-07-02 22:43:38
12, 24000, M\u0026s Bank, Personal Loan, 6.9, Moneyfacts, 2020-07-02 22:43:38
12, 24000, Metro Bank, Personal Loan, 7.9, Moneyfacts, 2020-07-02 22:43:38
12, 24000, ZOPA, Personal Loan, 8.7, Moneyfacts, 2020-07-02 22:43:38
12, 24000, RATESETTER, Personal Loan, 8.9, Moneyfacts, 2020-07-02 22:43:38
12, 24000, Lending Works, Personal Loan, 14.2, Moneyfacts, 2020-07-02 22:43:38
12, 24000, My Community Bank, Personal Loan, 25.9, Moneyfacts, 2020-07-02 22:43:38
12, 25000, AA, Member Loan, 3.0, Moneyfacts, 2020-07-02 22:43:40
12, 25000, AA, Non-Member Loan, 3.1, Moneyfacts, 2020-07-02 22:43:40
12, 25000, Tesco Bank, Online Personal Loan, 2.9, Moneyfacts, 2020-07-02 22:43:40
12, 25000, Tesco Bank, Telephone Personal Loan, 2.9, Moneyfacts, 2020-07-02 22:43:40
12, 25000, Mbna Limited, Personal Loan, 3.0, Moneyfacts, 2020-07-02 22:43:40
12, 25000, SANTANDER, 123 and Select Customers Personal Loan, 3.0, Moneyfacts, 2020-07-02 22:43:40
12, 25000, Post Office Money®, Personal Loan, 3.1, Moneyfacts, 2020-07-02 22:43:40
12, 25000, Clydesdale Bank, Personal Loan, 3.2, Moneyfacts, 2020-07-02 22:43:40
12, 25000, Yorkshire Bank, Personal Loan, 3.2, Moneyfacts, 2020-07-02 22:43:40
12, 25000, First Direct, Personal Loan, 3.3, Moneyfacts, 2020-07-02 22:43:40
12, 25000, HSBC, Premier Customer Personal Loan, 3.3, Moneyfacts, 2020-07-02 22:43:40
12, 25000, Bank Of Ireland Uk, Online Personal Loan, 3.5, Moneyfacts, 2020-07-02 22:43:40
12, 25000, HALIFAX, Existing Customer Personal Loan, 3.5, Moneyfacts, 2020-07-02 22:43:40
12, 25000, HALIFAX, Personal Loan, 3.5, Moneyfacts, 2020-07-02 22:43:40
12, 25000, SANTANDER, Existing Customer Personal Loan , 3.5, Moneyfacts, 2020-07-02 22:43:40
12, 25000, Bank Of Scotland, Existing Customer Personal Loan, 3.9, Moneyfacts, 2020-07-02 22:43:40
12, 25000, Lloyds Bank, Existing Customer Personal Loan, 3.9, Moneyfacts, 2020-07-02 22:43:40
12, 25000, TSB, Existing Current Account Customer Personal Loan, 3.9, Moneyfacts, 2020-07-02 22:43:40
12, 25000, TSB, Personal Loan, 3.9, Moneyfacts, 2020-07-02 22:43:40
12, 25000, Danske Bank, Existing Choice - Prestige or Freedom C/Acc Customers, 5.0, Moneyfacts, 2020-07-02 22:43:40
12, 25000, Danske Bank, Home Owners Personal Loan, 5.0, Moneyfacts, 2020-07-02 22:43:40
12, 25000, John Lewis Financial Services, Personal Loan, 5.0, Moneyfacts, 2020-07-02 22:43:40
12, 25000, Danske Bank, Personal Loan, 5.5, Moneyfacts, 2020-07-02 22:43:40
12, 25000, AIB, Personal Loan, 5.6, Moneyfacts, 2020-07-02 22:43:40
12, 25000, HSBC, Existing Customer Personal Loan, 6.7, Moneyfacts, 2020-07-02 22:43:40
12, 25000, HSBC, Personal Loan, 6.7, Moneyfacts, 2020-07-02 22:43:40
12, 25000, M\u0026s Bank, Existing Customer Personal Loan, 6.8, Moneyfacts, 2020-07-02 22:43:40
12, 25000, M\u0026s Bank, Personal Loan, 6.9, Moneyfacts, 2020-07-02 22:43:40
12, 25000, Metro Bank, Personal Loan, 7.9, Moneyfacts, 2020-07-02 22:43:40
12, 25000, ZOPA, Personal Loan, 8.7, Moneyfacts, 2020-07-02 22:43:40
12, 25000, RATESETTER, Personal Loan, 8.9, Moneyfacts, 2020-07-02 22:43:40
12, 25000, Lending Works, Personal Loan, 14.1, Moneyfacts, 2020-07-02 22:43:40
12, 25000, My Community Bank, Personal Loan, 25.9, Moneyfacts, 2020-07-02 22:43:40
12, 26000, First Direct, Personal Loan, 3.3, Moneyfacts, 2020-07-02 22:43:42
12, 26000, HSBC, Premier Customer Personal Loan, 3.3, Moneyfacts, 2020-07-02 22:43:42
12, 26000, HALIFAX, Existing Customer Personal Loan, 5.8, Moneyfacts, 2020-07-02 22:43:42
12, 26000, Bank Of Scotland, Existing Customer Personal Loan, 6.3, Moneyfacts, 2020-07-02 22:43:42
12, 26000, Lloyds Bank, Existing Customer Personal Loan, 6.3, Moneyfacts, 2020-07-02 22:43:42
12, 26000, Clydesdale Bank, Personal Loan, 6.9, Moneyfacts, 2020-07-02 22:43:42
12, 26000, Yorkshire Bank, Personal Loan, 6.9, Moneyfacts, 2020-07-02 22:43:42
12, 26000, RATESETTER, Personal Loan, 8.9, Moneyfacts, 2020-07-02 22:43:42
12, 26000, TSB, Existing Current Account Customer Personal Loan, 11.9, Moneyfacts, 2020-07-02 22:43:42
12, 27000, First Direct, Personal Loan, 3.3, Moneyfacts, 2020-07-02 22:43:43
12, 27000, HSBC, Premier Customer Personal Loan, 3.3, Moneyfacts, 2020-07-02 22:43:43
12, 27000, HALIFAX, Existing Customer Personal Loan, 5.8, Moneyfacts, 2020-07-02 22:43:43
12, 27000, Bank Of Scotland, Existing Customer Personal Loan, 6.3, Moneyfacts, 2020-07-02 22:43:43
12, 27000, Lloyds Bank, Existing Customer Personal Loan, 6.3, Moneyfacts, 2020-07-02 22:43:43
12, 27000, Clydesdale Bank, Personal Loan, 6.9, Moneyfacts, 2020-07-02 22:43:43
12, 27000, Yorkshire Bank, Personal Loan, 6.9, Moneyfacts, 2020-07-02 22:43:43
12, 27000, RATESETTER, Personal Loan, 8.9, Moneyfacts, 2020-07-02 22:43:43
12, 27000, TSB, Existing Current Account Customer Personal Loan, 11.9, Moneyfacts, 2020-07-02 22:43:43
12, 28000, First Direct, Personal Loan, 3.3, Moneyfacts, 2020-07-02 22:43:45
12, 28000, HSBC, Premier Customer Personal Loan, 3.3, Moneyfacts, 2020-07-02 22:43:45
12, 28000, HALIFAX, Existing Customer Personal Loan, 5.8, Moneyfacts, 2020-07-02 22:43:45
12, 28000, Bank Of Scotland, Existing Customer Personal Loan, 6.3, Moneyfacts, 2020-07-02 22:43:45
12, 28000, Lloyds Bank, Existing Customer Personal Loan, 6.3, Moneyfacts, 2020-07-02 22:43:45
12, 28000, Clydesdale Bank, Personal Loan, 6.9, Moneyfacts, 2020-07-02 22:43:45
12, 28000, Yorkshire Bank, Personal Loan, 6.9, Moneyfacts, 2020-07-02 22:43:45
12, 28000, RATESETTER, Personal Loan, 8.9, Moneyfacts, 2020-07-02 22:43:45
12, 28000, TSB, Existing Current Account Customer Personal Loan, 11.9, Moneyfacts, 2020-07-02 22:43:45
12, 29000, First Direct, Personal Loan, 3.3, Moneyfacts, 2020-07-02 22:43:46
12, 29000, HSBC, Premier Customer Personal Loan, 3.3, Moneyfacts, 2020-07-02 22:43:46
12, 29000, HALIFAX, Existing Customer Personal Loan, 5.8, Moneyfacts, 2020-07-02 22:43:46
12, 29000, Bank Of Scotland, Existing Customer Personal Loan, 6.3, Moneyfacts, 2020-07-02 22:43:46
12, 29000, Lloyds Bank, Existing Customer Personal Loan, 6.3, Moneyfacts, 2020-07-02 22:43:46
12, 29000, Clydesdale Bank, Personal Loan, 6.9, Moneyfacts, 2020-07-02 22:43:46
12, 29000, Yorkshire Bank, Personal Loan, 6.9, Moneyfacts, 2020-07-02 22:43:46
12, 29000, RATESETTER, Personal Loan, 8.9, Moneyfacts, 2020-07-02 22:43:46
12, 29000, TSB, Existing Current Account Customer Personal Loan, 11.9, Moneyfacts, 2020-07-02 22:43:46
12, 30000, First Direct, Personal Loan, 3.3, Moneyfacts, 2020-07-02 22:43:48
12, 30000, HSBC, Premier Customer Personal Loan, 3.3, Moneyfacts, 2020-07-02 22:43:48
12, 30000, HALIFAX, Existing Customer Personal Loan, 5.8, Moneyfacts, 2020-07-02 22:43:48
12, 30000, Bank Of Scotland, Existing Customer Personal Loan, 6.3, Moneyfacts, 2020-07-02 22:43:48
12, 30000, Lloyds Bank, Existing Customer Personal Loan, 6.3, Moneyfacts, 2020-07-02 22:43:48
12, 30000, Clydesdale Bank, Personal Loan, 6.9, Moneyfacts, 2020-07-02 22:43:48
12, 30000, Yorkshire Bank, Personal Loan, 6.9, Moneyfacts, 2020-07-02 22:43:48
12, 30000, RATESETTER, Personal Loan, 8.9, Moneyfacts, 2020-07-02 22:43:48
12, 30000, TSB, Existing Current Account Customer Personal Loan, 11.9, Moneyfacts, 2020-07-02 22:43:48
24, 1000, AA, Member Loan, 14.3, Moneyfacts, 2020-07-02 22:43:49
24, 1000, AA, Non-Member Loan, 14.4, Moneyfacts, 2020-07-02 22:43:49
24, 1000, Hitachi Personal Finance, Hitachi Personal Loan, 14.5, Moneyfacts, 2020-07-02 22:43:49
24, 1000, NATWEST, Existing Customer Personal Loan, 24.9, Moneyfacts, 2020-07-02 22:43:49
24, 1000, Royal Bank Of Scotland, Existing Customer Personal Loan, 24.9, Moneyfacts, 2020-07-02 22:43:49
24, 1000, 1plus1 Loans, Guarantor Loan, 47.8, Moneyfacts, 2020-07-02 22:43:49
24, 1000, Everyday Loans, Personal Loan (Good), 77.7, Moneyfacts, 2020-07-02 22:43:49
24, 1000, Danske Bank, Home Owners Personal Loan, 5.0, Moneyfacts, 2020-07-02 22:43:49
24, 1000, Starling Bank, Personal Loan, 11.5, Moneyfacts, 2020-07-02 22:43:49
24, 1000, Madiston Lendloaninvest, Unsecured Personal Loan, 12.0, Moneyfacts, 2020-07-02 22:43:49
24, 1000, AIB, Personal Loan, 12.3, Moneyfacts, 2020-07-02 22:43:49
24, 1000, CAHOOT, Online Personal Loan, 13.5, Moneyfacts, 2020-07-02 22:43:49
24, 1000, SANTANDER, 123 and Select Customers Personal Loan, 13.5, Moneyfacts, 2020-07-02 22:43:49
24, 1000, SANTANDER, Existing Customer Personal Loan , 13.5, Moneyfacts, 2020-07-02 22:43:49
24, 1000, SANTANDER, Personal Loan , 13.5, Moneyfacts, 2020-07-02 22:43:49
24, 1000, Tesco Bank, Online Personal Loan, 13.5, Moneyfacts, 2020-07-02 22:43:49
24, 1000, Post Office Money®, Personal Loan, 14.4, Moneyfacts, 2020-07-02 22:43:49
24, 1000, Bank Of Ireland Uk, Online Personal Loan, 14.5, Moneyfacts, 2020-07-02 22:43:49
24, 1000, Barclays Bank, Existing Premier Account Customer Barclayloan, 14.6, Moneyfacts, 2020-07-02 22:43:49
24, 1000, Mbna Limited, Personal Loan, 14.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, Lending Works, Personal Loan, 16.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, ZOPA, Personal Loan, 17.0, Moneyfacts, 2020-07-02 22:43:50
24, 1000, Danske Bank, Existing Choice - Prestige or Freedom C/Acc Customers, 17.4, Moneyfacts, 2020-07-02 22:43:50
24, 1000, Danske Bank, Personal Loan, 17.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, Clydesdale Bank, Personal Loan, 18.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, First Direct, Personal Loan, 18.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, Yorkshire Bank, Personal Loan, 18.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, Monzo Bank, Personal Loan, 19.5, Moneyfacts, 2020-07-02 22:43:50
24, 1000, M\u0026s Bank, Existing Customer Personal Loan, 19.8, Moneyfacts, 2020-07-02 22:43:50
24, 1000, M\u0026s Bank, Personal Loan, 19.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, Barclays Bank, Existing Current Account Customer Barclayloan, 20.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, John Lewis Financial Services, Personal Loan, 20.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, HSBC, Existing Customer Personal Loan, 21.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, HSBC, Personal Loan, 21.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, HSBC, Premier Customer Personal Loan, 21.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, Sainsbury\u0027s Bank, Standard Nectar Cardholder Loan, 24.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, Ulster Bank, Existing Customer Personal Loan, 24.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, Lloyds Bank, Existing Customer Personal Loan, 26.7, Moneyfacts, 2020-07-02 22:43:50
24, 1000, Bank Of Scotland, Existing Customer Personal Loan, 27.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, TSB, Existing Current Account Customer Personal Loan, 27.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, TSB, Personal Loan, 27.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, HALIFAX, Existing Customer Personal Loan, 28.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, HALIFAX, Personal Loan, 28.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, 118 118 Money, Personal Loan (Fair), 35.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, TRUSTTWO, Trusttwo (Homeowner Guarantor) Personal Loan, 49.5, Moneyfacts, 2020-07-02 22:43:50
24, 1000, BAMBOO, Guarantor Loan, 49.7, Moneyfacts, 2020-07-02 22:43:50
24, 1000, BAMBOO, Personal Loan, 49.7, Moneyfacts, 2020-07-02 22:43:50
24, 1000, TRUSTTWO, Trusttwo (Tenant/LWP Guarantor) Personal Loan, 49.7, Moneyfacts, 2020-07-02 22:43:50
24, 1000, AMIGO, Guarantor Personal Loan, 49.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, Likely Loans, Personal Loan, 59.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, Tfs Loans, Guarantor Loan, 69.9, Moneyfacts, 2020-07-02 22:43:50
24, 1000, 118 118 Money, Personal Loan (Poor), 99.9, Moneyfacts, 2020-07-02 22:43:50
24, 2000, AA, Member Loan, 14.3, Moneyfacts, 2020-07-02 22:43:51
24, 2000, AA, Non-Member Loan, 14.4, Moneyfacts, 2020-07-02 22:43:51
24, 2000, Hitachi Personal Finance, Hitachi Personal Loan, 14.5, Moneyfacts, 2020-07-02 22:43:51
24, 2000, NATWEST, Existing Customer Personal Loan, 24.9, Moneyfacts, 2020-07-02 22:43:51
24, 2000, Royal Bank Of Scotland, Existing Customer Personal Loan, 24.9, Moneyfacts, 2020-07-02 22:43:51
24, 2000, 1plus1 Loans, Guarantor Loan, 47.8, Moneyfacts, 2020-07-02 22:43:51
24, 2000, Everyday Loans, Personal Loan (Good), 77.7, Moneyfacts, 2020-07-02 22:43:51
24, 2000, Danske Bank, Home Owners Personal Loan, 5.0, Moneyfacts, 2020-07-02 22:43:51
24, 2000, Metro Bank, Personal Loan, 7.9, Moneyfacts, 2020-07-02 22:43:51
24, 2000, Madiston Lendloaninvest, Unsecured Personal Loan, 8.5, Moneyfacts, 2020-07-02 22:43:51
24, 2000, Starling Bank, Personal Loan, 11.5, Moneyfacts, 2020-07-02 22:43:51
24, 2000, AIB, Personal Loan, 12.3, Moneyfacts, 2020-07-02 22:43:51
24, 2000, CAHOOT, Online Personal Loan, 13.5, Moneyfacts, 2020-07-02 22:43:51
24, 2000, SANTANDER, 123 and Select Customers Personal Loan, 13.5, Moneyfacts, 2020-07-02 22:43:51
24, 2000, SANTANDER, Existing Customer Personal Loan , 13.5, Moneyfacts, 2020-07-02 22:43:51
24, 2000, SANTANDER, Personal Loan , 13.5, Moneyfacts, 2020-07-02 22:43:51
24, 2000, Tesco Bank, Online Personal Loan, 13.5, Moneyfacts, 2020-07-02 22:43:51
24, 2000, Post Office Money®, Personal Loan, 14.4, Moneyfacts, 2020-07-02 22:43:51
24, 2000, Bank Of Ireland Uk, Online Personal Loan, 14.5, Moneyfacts, 2020-07-02 22:43:51
24, 2000, Barclays Bank, Existing Premier Account Customer Barclayloan, 14.6, Moneyfacts, 2020-07-02 22:43:51
24, 2000, ZOPA, Personal Loan, 14.8, Moneyfacts, 2020-07-02 22:43:51
24, 2000, Mbna Limited, Personal Loan, 14.9, Moneyfacts, 2020-07-02 22:43:51
24, 2000, Lending Works, Personal Loan, 16.9, Moneyfacts, 2020-07-02 22:43:51
24, 2000, Danske Bank, Existing Choice - Prestige or Freedom C/Acc Customers, 17.4, Moneyfacts, 2020-07-02 22:43:51
24, 2000, Danske Bank, Personal Loan, 17.9, Moneyfacts, 2020-07-02 22:43:51
24, 2000, Clydesdale Bank, Personal Loan, 18.9, Moneyfacts, 2020-07-02 22:43:51
